Time,mys01,mys02,mys03,mys04,mys05,mys06,mys07
0,0,0,0,0,0,0,0
500,47775,9472,624515,98142,62438,52439,68509
1000,75424,6791,2348825,125059,27952,50530,95903
1500,139091,8508,3849107,57418,21133,54003,80794
2000,22763,5825,5609042,57558,21226,49690,115418
2500,15786,10366,7032993,56059,27922,49426,127416
3000,247389,6234,8624401,54887,26414,44865,89241
3500,18360,5369,10490857,56625,21216,36252,101965
4000,24887,5208,11845125,58986,22128,38820,88688
4500,17230,14684,12704068,77463,26338,31156,127769
5000,16977,7409,14418708,74332,24755,38845,270749
5500,475606,8999,16630414,75239,24177,37328,115712
6000,16011,8278,17577509,74331,24730,31861,106921
6500,22610,4953,17950663,58555,29774,34235,107211
7000,20910,8942,20015029,57227,20808,34109,116879
7500,21034,5264,22107990,57643,25889,33528,109417
8000,20814,5528,24084746,60389,24627,33865,116525
8500,20269,24965,25320613,56571,20566,34135,157808
9000,22127,5089,27440586,54812,22138,33990,136521
9500,18055,5852,30644763,87587,25955,43094,122376
10000,16221,7586,31912465,71314,26129,27666,160304
10500,24784,7997,33623821,69972,21207,42675,156616
11000,817298,5950,35075972,69826,22302,33088,140100
11500,20683,7250,36696384,57443,18452,32435,115046
12000,21456,4898,38498920,56015,17915,32420,125614
12500,19645,7346,36746560,55994,22658,47889,119659
13000,18765,4552,37394771,59447,22538,33551,119734
13500,28553,4311,39110917,56475,18304,32280,124362
14000,15780,3834,40356824,53794,17946,32181,119396
14500,12739,4813,41952605,80224,22655,35997,114982
15000,12217,6980,43182516,63496,22133,32136,120265
15500,11679,7508,45029710,62296,27160,32056,120241
16000,11455,5234,46672234,62352,23236,32036,119681
16500,17168,41512,47635955,50489,18445,32290,120654
17000,12284,4626,48882216,50744,17784,32675,135037
17500,15648,3831,50384096,49571,22819,31887,137066
18000,15561,4289,51847978,47790,23148,32465,137704
18500,15631,3981,53258917,51719,18425,32268,142082
19000,15544,4645,54875296,48099,17228,32188,135031
19500,15806,7539,57467544,65642,22858,60655,137246
20000,15578,7234,58716496,63077,22530,33967,137519
20500,15595,7956,59648046,61930,22423,41839,137540
21000,15476,4676,65606173,62364,22303,29091,136573
21500,15624,4322,62202876,50858,19200,29295,138614
22000,1363957,4759,63684501,50392,18001,29528,136601
22500,14282,3864,65276087,68097,22586,53213,136790
23000,15453,4128,66345389,48174,21848,37062,135815
23500,43591,3818,67695661,50652,18319,29626,136193
