Time,mys01,mys02,mys03,mys04,mys05,mys06,mys07
0,0,0,0,0,0,0,0
500,23661,25004,188868,92531,28377,73189,84157
1000,34016,24870,464142,185696,23333,68623,80133
1500,63124,24668,879744,297348,26890,72550,92095
2000,12377,25066,1474975,508923,22897,69466,86295
2500,11413,26855,1900326,883255,21348,70810,92309
3000,89494,25695,2411318,1109309,26374,73943,96191
3500,12246,25363,2658515,1410544,20071,72596,94860
4000,16860,25134,3099217,1687559,26943,75440,96776
4500,16321,30494,3429603,1961457,21034,92733,104980
5000,16077,24900,3768334,2263033,20999,79180,111187
5500,162533,26049,4294657,2349195,20653,80827,108024
6000,15024,26707,4575440,2778089,26996,79388,110555
6500,13978,26309,5029093,3365310,23473,80137,118176
7000,14487,27262,5422864,3572726,26594,84297,108520
7500,12584,27941,5899718,4041323,24481,83337,111998
8000,14295,28435,6379483,4113945,23059,82525,125262
8500,14031,33500,6762104,4626831,23985,87666,119649
9000,13491,27948,7191711,5214296,39098,83477,130700
9500,10944,28135,7530131,5168206,33864,85424,127026
10000,15226,28823,8145568,5519083,28525,87967,124253
10500,16341,27985,8588300,6385702,23775,87254,125000
11000,311938,28128,9237972,6558192,27889,90657,127753
11500,11359,28970,9833053,6578153,38363,88525,141837
12000,15544,30233,10323621,6878394,25294,90281,129501
12500,14315,29046,10691100,7989711,24316,101046,129608
13000,15634,29655,11371926,7795401,23662,91718,134916
13500,11474,29247,11784891,7998270,27591,93076,132217
14000,15508,30563,12140636,8061231,24384,91689,136442
14500,13819,29588,12455441,9255555,23994,94257,138292
15000,13745,30252,13129966,9691088,27278,94779,150943
15500,10891,30055,13691055,9085738,42860,93017,142480
16000,15164,30227,14152852,9596055,38352,92847,140354
16500,14079,54163,14617831,10853115,31318,95269,143885
17000,14125,32316,15945691,11255901,33091,99436,156476
17500,11471,32002,17105623,12122603,32848,98824,165136
18000,14533,31166,17163490,12441290,30028,98122,151363
18500,13956,31499,18485932,11687987,30046,95241,152588
19000,13782,31267,17150979,13197378,29028,97441,153443
19500,10965,32408,19185228,12846607,33978,107067,154987
20000,10451,32121,17868894,13454323,32330,111325,155610
20500,10537,36299,18444560,14769462,29822,103454,158950
21000,15016,35736,19113355,13484195,32568,100799,158207
21500,11008,33144,19457319,14499809,27755,99979,156873
22000,622282,33032,19759415,15400276,28458,101166,158000
22500,16919,33242,20363912,15291467,27843,129081,158779
23000,15212,32755,20853469,14746130,33894,97783,169436
23500,12301,33086,21444939,15668997,31031,100770,157246
24000,12717,33394,21849327,16022583,36075,103725,165896
24500,12402,33026,22244078,16939634,29147,105657,165796
25000,15074,34250,22935355,18366980,31991,104215,163597
25500,11912,33832,22947543,18330492,27518,103565,164850
26000,15169,33290,23138256,19797972,28725,104455,165328
26500,14677,33845,24057700,18168492,36744,110259,162421
27000,14286,34005,24415483,19182810,28836,106268,168091
27500,11944,33783,24557666,21357716,32869,104666,176953
28000,11234,35074,25252950,21550854,32932,106575,175288
28500,11164,34543,25667391,23563771,28287,107008,163367
29000,13152,34129,26051559,21667456,32795,103092,164302
29500,12110,36834,26580209,22441141,27733,107511,165712
30000,14382,37252,27490711,20372260,27743,105259,160641
30500,14685,39215,27275798,23130151,29849,107654,165678
31000,13831,36432,27803258,23427490,27509,109334,176140
31500,14505,35782,31717942,24766905,34609,122366,163221
32000,13997,36078,29399792,23690660,31836,106788,166870
32500,14540,35967,29486265,23469392,30781,110655,171660
33000,14090,67286,29751738,25318338,38565,120976,180804
33500,14092,37736,30257800,24994581,31366,110523,189350
34000,13823,37800,30715157,24463817,29985,126392,197255
34500,14656,37166,30718132,25973589,28786,107079,191111
35000,13674,37193,31405274,26458407,28926,111863,187480
35500,14355,38627,32333060,25205980,32608,112701,205940
36000,13876,43437,32278102,26254840,39382,108960,193622
36500,14017,37056,33061617,28025201,29175,112021,210237
37000,13683,39392,33429470,30275462,33198,110969,192678
37500,14239,37859,33746871,30491456,29643,120292,189052
38000,14173,37793,38077842,26844505,30155,109138,187835
38500,14033,37050,34815594,29914917,31550,111104,191751
39000,13765,38468,35417354,30190907,36789,113257,192005
39500,13989,38850,35925084,30702539,34849,115617,192633
40000,14178,39265,36337536,29172535,33797,126235,193589
40500,14025,38889,36529386,30553896,31584,114170,200325
41000,13828,38153,37009420,32094446,35940,116635,202901
41500,14286,40169,37159894,32199313,31607,115350,194479
42000,14609,40305,38635292,30889953,31653,123846,196203
42500,13983,39537,38499595,33037498,31816,114581,194464
43000,13877,37509,38799643,33788420,36154,118341,198016
43500,14066,39952,39251292,31981362,32543,113670,201984
44000,1276326,39721,39420132,32535181,36922,126026,197361
44500,16198,40704,40526620,34195617,31278,113181,201759
45000,14224,39816,40950070,36406385,34661,114514,194972
45500,15602,40225,42915330,33548399,45844,126458,195253
46000,14729,41177,45858037,35079196,46492,114957,192710
46500,15130,39943,41908355,35609818,40960,114494,191801
47000,14959,42385,42095427,39124542,41122,117194,206027
47500,14694,41057,43284064,38338560,38704,128259,192847
48000,14289,40810,42999714,39517813,38742,114726,194796
48500,14679,41402,43599451,43045807,48012,117643,199269
49000,14220,41307,43943962,43853145,42336,117072,211504
49500,14128,41498,44907752,43145608,42108,120952,206244
50000,14111,41044,45712243,39593310,41031,116290,200895
50500,26812,41290,50591745,41740443,39024,120959,202813
51000,16159,41319,46369552,39318716,42429,112990,211258
51500,14467,41778,46705248,40183338,40355,131624,205928
52000,14069,41082,47323312,40789318,38261,119095,209461
52500,14926,41655,47293903,39998719,40610,118055,205712
53000,14574,42155,48038908,40149364,38954,119624,205975
53500,15880,40211,48576930,39959222,39647,116035,205981
54000,14992,41741,48842141,44047823,39221,133588,201245
54500,14762,41620,48827071,44067654,38677,122135,214650
55000,14975,40860,49809018,41679852,39798,122637,207381
55500,14528,41658,49803927,46669039,38449,121487,197676
56000,14884,41121,50388822,43760633,38047,117436,201933
56500,14490,41955,55881856,41807700,38055,115678,210531
57000,16481,41840,54436363,46025693,38060,129623,202123
57500,15697,40221,51827214,45746031,41154,125585,209314
58000,14806,40974,52043579,47003956,38899,119112,212192
58500,14310,41000,52354510,43706261,40216,115266,199319
59000,13924,42245,53702772,47359239,40762,120461,215888
59500,14308,40840,54785165,48374649,36676,127003,202541
60000,14565,41215,56931125,46775114,41078,121395,206048
60500,14569,42626,55347871,49957267,48554,121744,207718
61000,14317,43193,55356756,48814488,39088,117611,206467
61500,14162,40761,55689768,48089572,41036,126114,205600
62000,14232,41395,57587226,44326990,39064,120142,205627
62500,14341,41574,56996224,49762991,38674,123999,217155
63000,14897,42248,56993268,48554370,43269,125227,206970
63500,14891,42359,57299448,51088074,41231,122979,216557
64000,14311,44603,57880493,51320336,42428,123175,201441
64500,14552,42279,56866224,53850976,42140,125010,200295
65000,14688,43021,59063922,48910038,40108,121039,210201
65500,14586,43346,64786117,51165060,45164,135217,211250
66000,14152,100758,59943835,50663316,42614,121023,223236
66500,14422,42891,59966538,51340295,39399,123799,221621
67000,14260,42034,60454264,52950134,39564,121218,231954
67500,14779,41927,59988833,58935231,40209,123675,220969
68000,14442,43195,61360993,52349258,41069,138198,220406
68500,14559,42748,68689306,53761463,41189,123383,225606
69000,14355,43292,63264093,56452423,40005,129285,228746
69500,14722,43659,62993104,58193239,42484,122939,230902
70000,13104,42585,63578384,54754993,40783,124332,239197
70500,17891,42237,64342041,54275584,40582,122541,227738
71000,14977,43295,64311062,52856433,41223,133408,228112
71500,15193,43477,64092878,55632472,41420,123415,248809
72000,14742,45152,64460097,60078731,40771,128152,228761
72500,14733,43877,64914178,59980915,44372,125476,226916
73000,14663,42185,67618543,56216425,48218,124720,235022
73500,14696,43568,66912906,57626526,41858,123067,229943
74000,14383,43915,66956260,59101569,42551,132007,230610
74500,14734,43230,66879585,60182791,42019,132616,235732
75000,14441,43974,67768688,61639299,42434,127026,259410
75500,14838,43966,68274656,59777570,45685,130451,248397
76000,14173,44508,73994797,62259376,41885,127471,245658
76500,15202,42699,70819641,57273326,40646,127062,259413
77000,14639,43569,70507661,60090316,41373,128460,237252
77500,14247,43447,70672853,62859601,42697,125047,239216
78000,14584,43287,70230370,61645909,43737,125640,256993
78500,14635,44033,69747628,66858841,42690,123665,243890
79000,15264,43587,71207601,64296299,45157,135157,243824
79500,14543,43616,71202207,63817162,43641,123612,243712
80000,14851,42842,72245308,59620121,43239,127366,240332
80500,14826,43985,79471569,62123157,46041,140046,238336
81000,15106,44365,81382411,65301435,42691,132162,247192
81500,14935,44392,73162291,65516843,43967,134087,247349
82000,14495,43193,73265682,67627615,44900,128201,243465
82500,15159,43248,75654252,62731789,50005,127117,256190
83000,14556,43344,81606223,69679701,46472,129763,257730
83500,14298,44959,77071762,67252365,44731,123649,255331
84000,14615,45175,77506669,68096036,44889,143951,262797
84500,16317,43786,78344524,67661428,45923,127005,265964
85000,17946,44191,79115113,71596259,44751,129921,254993
85500,14793,43926,84380523,72647185,45626,128166,253513
86000,14780,45133,81533777,70114277,47960,128143,248920
86500,14446,44810,79786915,69685414,45897,134442,242853
87000,14370,44702,85773877,64998130,44725,123970,241967
87500,15096,46934,80312368,73021047,49995,129045,249383
88000,2447815,50500,83318720,72608511,45974,126944,273554
88500,19253,44057,82350550,65503776,48799,128114,256573
89000,17274,45031,86568087,66280587,51365,130964,242923
89500,17174,44272,83101353,68470823,49591,127451,248349
90000,16819,45051,83743331,68966130,49026,137488,265784
90500,28794,45636,87796904,71925959,48012,128346,241735
91000,20277,43659,84102323,77103922,48164,134732,257726
91500,17915,44750,84981284,72035192,52123,130779,243220
92000,18781,44445,88708956,75652150,60820,128919,249038
92500,16059,44681,89521053,75330578,50881,133769,255658
93000,15646,44686,87094148,68013840,46664,128178,246242
93500,17203,53979,86402031,71809134,47306,130949,246143
94000,16331,47072,86033225,72981964,48830,139190,253491
94500,16808,45491,88070731,74581398,52735,134766,243191
95000,16345,44399,88923109,76803247,49648,131723,246873
95500,16404,44507,88309940,71413803,49017,135311,248718
96000,16239,45655,89039521,75838679,50887,138131,249539
96500,18078,44844,88642066,75486535,48597,136715,237728
97000,16968,44912,90365890,77560223,47666,138206,241642
97500,17345,45381,90851379,78712816,51408,136190,243600
98000,16612,45197,92713340,78690342,49959,137724,261558
98500,16328,46219,93461974,82688400,49565,138772,249958
99000,16786,44454,89992962,92216541,51523,134922,249738
99500,16828,44964,90250788,85747679,51027,138747,250243
100000,15739,45154,90983973,84746738,51787,136507,254109
100500,20294,45495,95611201,78802508,48580,137450,246533
101000,18239,44245,93497848,79475844,50346,144072,260106
101500,19170,46987,94062028,78782557,47051,141049,250910
102000,17886,46135,92632530,79573776,47048,138749,252620
102500,20364,46595,93138072,78489092,50986,138744,273430
103000,24157,45465,93244765,82868601,55475,136455,242740
103500,18364,45467,95543947,83190505,53435,139666,250376
104000,19083,46240,94158991,86298036,53385,140787,296941
104500,19030,48339,95121982,87309355,56290,143380,334402
105000,18726,53723,94994225,90313753,53419,141490,330080
105500,18550,45986,97984475,87718333,54033,140982,368491
106000,18247,45479,97414732,86523156,59948,140740,392597
106500,18037,45421,100030838,86845968,49681,137546,373495
107000,18039,46641,98530790,85524154,49607,143127,345426
107500,18128,45901,97924888,84159200,54846,142911,354472
108000,17288,45730,103087804,84537969,54559,142322,356409
108500,17876,54711,99620003,82232837,54764,141365,360899
109000,18027,47256,105128882,86817951,51816,140177,360228
109500,19186,46502,99026396,92572021,53316,139122,370501
110000,18135,46276,100706231,89306850,53591,139997,377502
110500,17334,45768,103060891,99925708,56713,144805,366417
111000,17104,47848,105553036,84898964,55306,139658,359895
111500,17475,46719,101505046,92129227,54776,148328,348447
112000,18306,46741,102924234,86901567,54120,140147,351608
112500,16950,47600,103877532,85633510,55189,141511,318903
113000,17101,46397,103009042,88545264,56421,141601,274124
113500,17991,45565,112452015,91947423,58589,150064,263027
114000,21701,45515,135933531,95020627,72310,147299,263822
114500,22472,46446,153339289,91257449,60855,142572,255776
115000,16817,48153,163005670,100468501,56719,175638,283510
115500,16545,47288,166153160,94600654,57441,138813,254468
116000,18914,46609,163439463,98081999,57424,142059,252588
116500,17512,47258,162993340,92311677,55937,138879,271474
117000,17319,46724,165834696,94084704,61081,142389,265251
117500,16905,46311,162542960,99054950,57867,144454,268553
118000,17155,46468,169148986,98542980,59551,145429,267080
118500,26973,46189,173458967,94707422,55505,145502,268078
119000,17433,46411,168323185,96930281,64997,142910,263141
119500,17337,46379,163997537,99135685,60259,148472,269011
120000,17407,45992,168437223,101818747,59941,143756,269946
120500,16882,46746,167452043,100732572,57045,145488,268676
121000,16481,46397,169151715,103735648,57257,141834,275033
121500,16644,46241,165558722,105827747,55930,146577,270041
122000,17517,46354,161776061,104400480,77591,155000,289480
122500,18574,45173,163901594,96665750,59135,141970,350315
123000,17365,49552,172701892,99765516,57607,145625,367722
123500,18812,54186,168900534,109341184,57682,145226,378872
124000,17347,48449,174247156,121069918,59456,144550,382044
124500,16615,46710,171844783,110173250,57606,149280,329800
125000,16843,47294,170244779,104598049,58678,145852,313473
125500,16592,46501,167664480,100300716,58685,149010,306228
126000,17506,46935,173593648,109394746,58044,143121,301753
126500,16688,47965,171519943,102871406,59660,140321,307636
127000,16710,47032,176409623,103887418,59648,172872,303381
127500,17321,47681,171170504,103082498,61491,145762,303895
128000,16886,46881,174133628,105724317,61840,148173,316511
128500,16974,48397,178146714,108008667,59099,156163,296270
129000,17931,46935,177344991,107771495,60315,145326,290773
129500,16793,48508,177143671,103107807,62130,148094,284101
130000,17005,48366,182369953,108584295,57769,149953,310271
130500,16659,48484,185555487,119279849,58916,145889,293044
131000,17701,48731,181658577,116510999,59616,159579,291655
131500,18134,174032,186431866,111682633,58712,157067,310757
132000,19483,49981,184535538,112468413,66811,148159,291831
132500,17940,49315,187404635,116065902,63256,160685,309303
133000,18146,47721,182398272,118792575,66198,146711,292110
133500,18221,47119,185910444,105062420,67135,148377,301025
134000,16648,48136,192342138,122199624,73625,147967,301282
134500,17447,50065,193407683,116214715,73302,150099,305773
135000,17471,55765,198894870,115604656,70219,148156,325241
135500,17617,47434,190785500,106240347,73997,159260,299233
136000,16931,47364,191958276,110851559,71378,149106,288513
136500,17571,47922,191327168,107161407,70314,150795,286541
137000,17931,48750,191971548,115296481,75461,155319,299123
137500,17493,47463,189813666,108984325,74656,152232,288695
138000,17311,60011,192919559,116347687,74605,152662,284874
138500,18567,55393,193758134,121427127,73279,167718,285679
139000,16689,47719,193825239,129678967,75982,152987,291962
139500,16738,47508,200379978,115674510,73941,149048,281215
140000,16166,46349,195898873,111893574,73951,151748,308121
140500,16512,46921,203727646,110161424,79096,153875,290873
141000,17229,46533,210154081,121201646,84084,160622,287984
141500,16969,45364,305553226,117233820,73361,147339,301198
142000,16506,46882,519296629,121405301,88326,147212,283844
142500,17066,44658,336407129,151803156,83373,152312,300482
143000,16681,45098,217123351,248964192,76933,154945,282934
143500,16379,44654,211218309,214319377,75623,153728,287452
144000,17299,45465,200771834,202251687,77403,151336,286734
144500,16442,45953,193791453,191444097,72506,151550,285545
145000,16695,45229,192528564,177212325,80235,149948,288349
145500,16180,44752,197445470,148810296,75864,152787,305538
146000,17332,46047,198211396,148960560,80431,164928,286317
146500,16272,46125,198496862,139607513,73879,154099,289444
147000,16550,45304,196408576,149585955,74850,151853,286758
147500,16454,46417,198629061,125578162,72564,162506,288665
148000,16117,44517,209979526,132874761,74381,152521,289015
148500,16610,45009,253227493,142731237,74237,148878,280524
149000,16831,45222,223192257,153646792,76894,149516,291301
149500,15946,45498,211933317,137367978,75222,150742,302839
150000,18442,47165,214995513,137793960,77860,165135,283630
150500,16137,46690,213910495,165459054,78429,151724,301945
151000,15461,46635,221047241,133172190,69309,147965,301778
151500,16254,47033,213564222,159464645,72381,150662,285665
152000,15860,45819,218578246,141421909,69967,158924,283854
152500,16326,47094,222569833,143270525,69848,154680,292160
153000,16963,46430,235725376,198301595,74932,160712,289288
153500,19375,45484,235902749,157513255,79332,162350,300899
154000,16914,45366,218525839,150324234,76785,154441,292407
154500,15865,45252,223124828,138383562,72843,151082,302434
155000,16416,46474,224007109,142043154,70058,149571,297290
155500,15902,46957,225327630,152988953,71498,150717,286988
156000,15990,46098,225264069,171171076,74734,167351,294104
156500,16024,47528,226550328,144550925,75199,154748,279906
157000,16118,45532,228237459,161723988,75757,154169,291320
157500,16328,46353,234360801,134196840,74056,154162,289360
158000,15231,45464,230465382,125893365,71339,153794,287456
158500,15870,47149,230277544,138603210,69019,157979,298332
