Time,mys01,mys02,mys03,mys04,mys05,mys06,mys07
0,0,0,0,0,0,0,0
500,48578,20341,794658,100838,91386,146334,225256
1000,68071,13916,2249931,91040,120674,168319,261560
1500,124043,15458,3476735,120123,109539,158788,305081
2000,23137,10805,5377029,116369,82972,107318,293945
2500,22877,19028,6445271,119356,116198,114504,400106
3000,240037,7763,7110441,89457,70536,117191,337326
3500,16946,7329,8508742,98067,72885,195372,181783
4000,15424,10604,9893749,91642,108111,113774,101510
4500,17296,21135,11206377,113337,92498,188997,131570
5000,16526,11665,12715354,91180,77307,105394,107060
5500,448552,11063,14405529,106301,76685,102041,109802
6000,21536,11358,15992120,94824,69705,188897,108499
6500,19536,10478,17679570,86851,71425,107092,109489
7000,15493,11387,19485624,86169,75719,101320,116548
7500,33670,7077,21084243,112730,69958,176143,110245
8000,21336,7711,22717362,90329,84872,192051,117795
8500,15989,31402,24203490,85242,83053,95340,118021
9000,15605,10675,25804536,69480,81416,90097,124183
9500,14507,10524,27221696,92083,100087,160687,125786
10000,14427,21772,29090163,106384,81319,94041,127632
10500,20441,10326,30244412,114292,76241,122572,117889
11000,804397,11204,31575644,79288,68875,93063,113064
11500,14196,7327,33084966,86901,71277,96496,114573
12000,12761,6010,34530689,80314,85096,94545,138580
12500,13691,5707,35888662,79555,84737,102157,123720
13000,13685,6246,37435707,76814,87674,93476,118054
13500,12733,5751,38871749,77067,82964,108719,117736
14000,12507,5971,44413994,76718,64838,128040,119624
14500,18655,5727,41736873,78353,63767,96596,116619
15000,14095,5687,43731387,78485,63266,83117,112954
15500,13571,6902,44859022,81629,63480,86003,114454
16000,13158,6090,46105570,95421,74015,87259,121192
16500,29439,46741,47466398,77215,77528,85381,120919
17000,13605,6326,48852662,78104,73229,114878,136688
17500,12855,6397,50332908,79275,74738,80423,133792
18000,12539,5699,52479167,90441,77865,82057,137472
18500,18330,5876,53230455,71358,58268,76927,137021
19000,13951,5946,54852396,68989,55579,79236,132640
19500,13630,7501,56257091,101604,55966,79981,132868
20000,13115,6468,57656122,73880,94809,79521,137440
20500,11778,6010,59153392,72524,89978,79564,138034
21000,11788,5736,63991375,69160,94967,79708,141172
21500,11056,6006,64791227,72098,86203,82057,136669
22000,1377911,5701,63453129,70748,57586,69067,134009
22500,14621,5698,64903407,79397,54754,73276,138273
23000,13659,5731,69123472,63260,53223,79915,131168
23500,11705,7401,67883484,66580,77242,72989,133154
24000,11793,5913,71245403,62304,92103,77092,167444
24500,11450,6006,70893427,64940,58596,71953,136623
25000,11376,5887,72138631,61005,51897,72561,135819
25500,10940,5724,73538615,66697,55508,75538,136639
26000,11849,5703,75107523,66577,55659,91278,134938
26500,14659,5698,76484447,61529,58335,88147,138155
27000,26192,5717,77948148,62541,56079,65558,132494
27500,11734,7439,79502662,63049,47857,67059,133004
28000,12185,6094,86464440,76470,48638,64727,147874
28500,11330,6130,83015468,65261,70214,66728,139114
29000,11458,5820,85635202,56892,51176,69484,136299
29500,11530,5745,88830924,58114,56132,63206,148643
30000,11854,5700,86655344,56781,48194,65812,136695
30500,14713,5707,89458496,57236,65772,65337,136229
31000,29546,15470,89567430,59067,48753,66344,134718
31500,11483,6670,91026365,62738,48647,70102,141945
32000,11785,6122,92537685,57499,47000,79021,137556
32500,11541,5455,94104400,72548,66920,63083,135598
33000,11411,76452,95312478,58185,65623,58061,149616
33500,11787,6249,101403008,72201,55646,65749,188018
34000,11585,5640,98555368,54592,47357,62012,158250
34500,14480,5631,100022399,53163,53281,63825,210735
35000,15083,5262,109121200,52845,45370,61253,156826
35500,11305,7253,109719206,54338,48620,59698,167143
36000,11330,5173,104178202,56586,44904,60959,173281
36500,11165,5432,105492712,54764,66615,58430,158649
37000,11342,5165,107018469,59738,60493,63750,170984
37500,11825,5132,108522428,54400,45987,60853,161719
38000,23263,5133,110256034,52595,54903,51885,167733
38500,15047,5296,111955024,53340,68764,53010,168788
39000,13427,5375,113081641,56975,48181,51710,156078
39500,11394,7479,121080324,55705,46886,58097,171879
40000,11562,5975,123168463,62071,55438,50577,160158
40500,11498,6276,117203380,46187,46728,51898,157800
